Flora	Mac	Time	Name	Temp	moisture	light	conductivity	battery
Flora2	C4:7C:8D:64:5D:17	2019-10-30 06:10:02	Flower care	22.1	41	1049	1021	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 06:20:01	Flower care	22.0	43	1558	370	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 06:20:01	Flower care	22.5	41	1468	1010	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 06:30:01	Flower care	22.8	43	1107	364	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 06:30:01	Flower care	22.9	41	1354	1003	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 06:40:01	Flower care	22.3	42	1124	365	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 06:40:01	Flower care	22.5	41	1006	1010	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 06:50:01	Flower care	21.8	42	1666	371	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 06:50:01	Flower care	22.2	41	1468	1015	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 07:00:01	Flower care	21.5	42	1281	373	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 07:00:01	Flower care	22.0	41	1661	1019	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 07:10:01	Flower care	22.1	42	1555	370	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 07:10:01	Flower care	22.5	41	1205	1010	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 07:20:01	Flower care	22.5	42	1258	366	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 07:20:01	Flower care	22.8	41	1483	1005	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 07:30:02	Flower care	21.9	42	1604	370	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 07:30:02	Flower care	22.2	41	1312	1006	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 07:40:01	Flower care	21.4	42	923	373	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 07:40:01	Flower care	21.8	41	931	1013	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 07:50:01	Flower care	22.0	42	1764	369	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 07:50:01	Flower care	22.3	41	1590	1009	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 08:00:01	Flower care	22.6	42	1456	365	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 08:00:01	Flower care	22.8	41	1492	996	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 08:10:01	Flower care	22.2	42	1621	366	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 08:10:01	Flower care	22.5	41	1433	1001	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 08:20:02	Flower care	21.7	42	1332	371	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 08:20:02	Flower care	22.1	41	1618	1008	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 08:30:01	Flower care	21.2	42	1551	376	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 08:30:01	Flower care	21.9	41	1261	1011	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 08:40:02	Flower care	21.5	42	1677	370	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 08:40:02	Flower care	22.0	41	1236	1005	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 08:50:01	Flower care	22.4	42	1736	367	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 08:50:01	Flower care	22.5	41	1006	1001	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 09:00:02	Flower care	22.4	42	1267	367	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 09:00:02	Flower care	22.6	41	1093	999	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 09:10:01	Flower care	21.9	42	1010	368	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 09:10:01	Flower care	22.1	41	1414	1004	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 09:20:02	Flower care	21.4	42	1421	371	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 09:20:02	Flower care	21.8	41	1117	1009	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 09:30:01	Flower care	21.4	42	1632	374	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 09:30:01	Flower care	21.8	42	1296	1005	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 09:40:02	Flower care	22.1	42	1273	367	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 09:40:02	Flower care	22.3	42	958	1000	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 09:50:01	Flower care	22.6	42	1708	363	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 09:50:01	Flower care	22.6	42	1507	995	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 10:00:01	Flower care	22.1	42	1207	367	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 10:00:01	Flower care	22.3	42	1365	1000	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 10:10:01	Flower care	21.9	42	1040	368	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 10:10:01	Flower care	22.1	41	1155	1000	100
